Enlace,Baños,Área Construida,Antigüedad,Habitaciones,Parqueaderos,Área Privada,Estrato,Administración,Piso N°,Acepta mascotas,Documentación requerida,Estado,Cantidad de pisos,Contrato Mínimo,Precio,Latitud,Longitud
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-nuevo-bilbao-ibague/10868853,2,59.00  m2,9 a 15 años,3,1,59.00  m2,3,¡Pregúntale!,5,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 780.000,4.446612,-75.1526
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/191221708,2,73.00  m2,1 a 8 años,3,1,68.00  m2,4,¡Pregúntale!,14,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,14,¡Pregúntale!,$ 1.200.000,4.4178738,-75.1825584
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-cd-simon-bolivar-et-i-ibague/191846182,2,60 m2,menor a 1 año,3,1,60 m2,3,¡Pregúntale!,12,¡Pregúntale!,¡Pregúntale!,Usado,12,¡Pregúntale!,$ 1.050.000,4.4332639688158,-75.180303458023
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-nuevo-bilbao-ibague/10843004,2,67.00  m2,9 a 15 años,3,1,67.00  m2,3,¡Pregúntale!,5,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 850.000,4.44610981173033,-75.1548547289851
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-gaitan-ibague/10870508,2,110.00  m2,16 a 30 años,4,¡Pregúntale!,110.00  m2,3,¡Pregúntale!,3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 900.000,4.44356315787229,-75.2109801510533
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-comuna-08-ibague/10869118,2,52.00  m2,1 a 8 años,2,1,52.00  m2,3,"$ 140,000.00",3,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 900.000,4.42160628400276,-75.1712565869084
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/10865233,1,43.00  m2,menor a 1 año,2,1,43.00  m2,2,¡Pregúntale!,1,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 600.000,4.39799506264465,-75.1482916893745
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/192779089,1,52 m2,1 a 8 años,2,¡Pregúntale!,48 m2,3,¡Pregúntale!,5,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 570.000,4.3902751,-75.1406345
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-ibague/192837618,2,56 m2,menor a 1 año,2,¡Pregúntale!,56 m2,3,¡Pregúntale!,7,¡Pregúntale!,¡Pregúntale!,Usado,¡Pregúntale!,¡Pregúntale!,$ 1.000.000,4.4189575,-75.1701309
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/191718122,2,60.00  m2,1 a 8 años,3,1,¡Pregúntale!,4,¡Pregúntale!,9,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,9,¡Pregúntale!,$ 1.200.000,4.4179901,-75.1788817
https://www.fincaraiz.com.co/apartamento-en-arriendo-en-picaleña-y-mirolindo-ibague/10858879,2,62 m2,menor a 1 año,2,1,62 m2,3,¡Pregúntale!,8,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,¡Pregúntale!,$ 1.100.000,4.42445967771127,-75.180816599252
